# header
# energy = 14400.0 eV
# sdd = 0.670000 m
# alpha = 0.072789 deg
# beta = 0.072793 deg
# tth = 2.505728 deg
# qxy0 = 0.319119 /A
# expo_time = 30 sec
# monitor_3_ave = 3.357593 /sec
# px_size = 0.000172 m
# roi_x = 25
# roi_y = 86
# roi_dy = 3
# chamber_id = 0
# data
# idx	beta	intensity	qz
0.000000 -0.294921 1.003000 -0.028292
1.000000 -0.280213 1.003000 -0.026419
2.000000 -0.265505 1.003000 -0.024545
3.000000 -0.250796 1.003000 -0.022672
4.000000 -0.236088 2.006001 -0.020799
5.000000 -0.221380 0.000000 -0.018925
6.000000 -0.206671 1.003000 -0.017052
7.000000 -0.191963 2.006001 -0.015179
8.000000 -0.177254 1.003000 -0.013305
9.000000 -0.162546 3.009001 -0.011432
10.000000 -0.147837 0.000000 -0.009559
11.000000 -0.133129 2.006001 -0.007685
12.000000 -0.118420 0.000000 -0.005812
13.000000 -0.103712 1.003000 -0.003938
14.000000 -0.089003 0.000000 -0.002065
15.000000 -0.074294 1.003000 -0.000192
16.000000 -0.059586 3.009001 0.001682
17.000000 -0.044877 0.000000 0.003555
18.000000 -0.030168 0.000000 0.005428
19.000000 -0.015460 0.000000 0.007302
20.000000 -0.000751 1.003000 0.009175
21.000000 0.013958 1.003000 0.011049
22.000000 0.028667 2.006001 0.012922
23.000000 0.043375 2.006001 0.014795
24.000000 0.058084 3.009001 0.016669
25.000000 0.072793 6.018002 0.018542
26.000000 0.087502 21.063006 0.020416
27.000000 0.102211 20.060006 0.022289
28.000000 0.116919 32.096010 0.024162
29.000000 0.131628 47.141014 0.026036
30.000000 0.146337 71.213021 0.027909
31.000000 0.161046 98.294030 0.029783
32.000000 0.175754 57.171017 0.031656
33.000000 0.190463 56.168017 0.033529
34.000000 0.205172 47.141014 0.035403
35.000000 0.219880 46.138014 0.037276
36.000000 0.234589 45.135014 0.039149
37.000000 0.249298 54.162016 0.041023
38.000000 0.264006 49.147015 0.042896
39.000000 0.278715 41.123012 0.044769
40.000000 0.293423 34.102010 0.046643
41.000000 0.308132 36.108011 0.048516
42.000000 0.322840 46.138014 0.050390
43.000000 0.337549 36.108011 0.052263
44.000000 0.352257 41.123012 0.054136
45.000000 0.366966 31.093009 0.056009
46.000000 0.381674 30.090009 0.057883
47.000000 0.396382 43.129013 0.059756
48.000000 0.411091 45.135014 0.061629
49.000000 0.425799 51.153015 0.063503
50.000000 0.440507 39.117012 0.065376
51.000000 0.455215 46.138014 0.067249
52.000000 0.469923 36.108011 0.069122
53.000000 0.484631 36.108011 0.070996
54.000000 0.499339 39.117012 0.072869
55.000000 0.514047 36.108011 0.074742
56.000000 0.528755 33.099010 0.076615
57.000000 0.543463 41.123012 0.078488
58.000000 0.558171 49.147015 0.080362
59.000000 0.572878 37.111011 0.082235
60.000000 0.587586 35.105011 0.084108
61.000000 0.602294 35.105011 0.085981
62.000000 0.617001 47.141014 0.087854
63.000000 0.631708 47.141014 0.089727
64.000000 0.646416 42.126013 0.091600
65.000000 0.661123 38.114011 0.093474
66.000000 0.675830 40.120012 0.095347
67.000000 0.690537 33.099010 0.097220
68.000000 0.705244 43.129013 0.099093
69.000000 0.719951 45.135014 0.100966
